"Time [ns]","Distance [mm]","Bx [T]"
16000000,342.302608,0.00706614194196431
16000000,342.827612,0.00875982950995607
16000000,343.352616,0.0140400104365728
16000000,343.87762,0.017394464723934
16000000,344.402624,0.00203786865078331
16000000,344.927628,0.0225999556586444
16000000,345.452632,0.043162042666506
16000000,345.977636,0.0625705900954611
16000000,346.50264,0.0594204086572257
16000000,347.027644,0.05627022721899
16000000,347.552648,0.0531200457807546
16000000,348.077652,0.0499698643425189
16000000,348.602656,0.0532367757513526
16000000,349.12766,0.0507653029270246
16000000,349.652664,0.0482938301026965
16000000,350.177668,0.0458223572783685
16000000,350.702672,0.0433508844540403
16000000,351.227676,0.0426681389723987
16000000,351.75268,0.0414178542692528
16000000,352.277684,0.0401675695661067
16000000,352.802688,0.0389172848629608
16000000,353.327692,0.0376670001598148
16000000,353.852696,0.0370909253279452
16000000,354.3777,0.0315283337788425
16000000,354.902704,0.0259657422297391
16000000,355.427708,0.0204031506806365
16000000,355.952712,0.0148405591315331
16000000,356.477716,0.0157515804575599
16000000,357.00272,0.0120524223392711
16000000,357.527724,0.00668228233365593
16000000,358.052728,0.00602086671288897
16000000,358.577732,0.00535945109212193
16000000,359.102736,0.00496703767981347
16000000,359.62774,0.00468723750402112
16000000,360.152744,0.00203227726029505
16000000,360.677748,0.00424714407240821
16000000,361.202752,0.00646201088452142
16000000,361.727756,0.0083335239076239
16000000,362.25276,0.00947378522277622
16000000,362.777764,0.0106140465379284
16000000,363.302768,0.0114629693877154
16000000,363.827772,0.012225393401967
16000000,364.352776,0.0126614202214017
16000000,364.87778,0.0135679034567064
16000000,365.402784,0.014474386692011
16000000,365.927788,0.0153808699273157
16000000,366.452792,0.0162873531626204
16000000,366.977796,0.015815561834319
16000000,367.5028,0.0180742880221739
16000000,368.027804,0.0203330142100286
16000000,368.552808,0.0225917403978832
16000000,369.077812,0.024850466585738
16000000,369.602816,0.0271091927735927
16000000,370.12782,0.0206052085932709
16000000,370.652824,0.0172514743690236
16000000,371.177828,0.0138977401447765
16000000,371.702832,0.0105440059205289
16000000,372.227836,0.00719027169628176
16000000,372.75284,0.00834575592072248
16000000,373.277844,0.00652059190580721
16000000,373.802848,0.00469542789089198
16000000,374.327852,0.00287026387597651
16000000,374.852856,0.00104509986106129
16000000,375.37786,-0.00208671081578778
16000000,375.902864,-0.00421596434082167
16000000,376.427868,0.00355875859038038
16000000,376.952872,-0.00359152948565126
16000000,377.477876,-0.0107418175616827
16000000,378.00288,-0.00992539414503981
16000000,378.527884,-0.00871063515376283
16000000,379.052888,-0.013292361312794
16000000,379.577892,-0.0104749200860722
16000000,380.102896,-0.00765747885935042
16000000,380.6279,-0.00515240648797455
16000000,381.152904,-0.00295980522034189
16000000,381.677908,-0.000767203952708947
16000000,382.202912,0.00142539731492371
16000000,382.727916,0.00361799858255642
